time[s],angle[deg],amplitude[mV]
384.96416231,229.878235,-0.531193
384.96427466,231.901184,-0.345547
385.38647747,163.941055,-0.16208
385.38652721,164.836655,-0.295757
385.3867294,168.477188,-0.195924
385.38676078,169.042191,-0.561775
385.38700531,173.445084,-0.208951
385.38701265,173.57724,-0.218192
385.38712688,175.634003,-0.247894
385.38718788,176.732346,-0.965406
385.38733293,179.34404,-1.385392
385.38745227,181.492813,-0.407639
385.38757008,183.614044,-0.897851
385.38770081,185.967896,-0.148552
385.38803003,191.89566,-0.253637
385.38807593,192.722122,-1.060913
385.38837223,198.057144,-0.277979
385.38851013,200.5401,-0.131933
385.38851818,200.685043,-0.30766
385.3886997,203.9534,-0.397863
385.38873801,204.643188,-0.436219
385.388925,208.01004,-0.427513
385.3891057,211.263626,-0.785551
385.38928211,214.439987,-0.160255
385.38966521,221.337891,-0.114035
385.39012201,229.56279,-0.109059
385.39026693,232.17215,-0.461461
385.39614221,337.959473,0.246223
385.39618291,338.692291,0.314052
385.39628215,340.479156,0.479866
385.39639075,342.43454,0.290109
385.39644291,343.373718,0.365251
385.39652318,344.819,0.379606
385.39659247,346.06662,0.671633
385.39673833,348.692902,0.558875
385.39680673,349.924469,0.620048
385.3969573,352.635559,1.034263
385.39702621,353.876312,1.482489
385.39712246,355.609344,1.924232
385.39723853,357.699249,0.357624
385.39740853,0.760172,0.395006
385.39743396,1.218052,0.488763
385.39750181,2.439725,1.916681
385.39766513,5.380382,0.802488
385.39783625,8.461481,0.629054
385.39797506,10.960824,0.214696
385.39801401,11.662138,0.438316
385.39805123,12.332302,0.492455
385.39808381,12.918921,0.609405
385.39810477,13.296316,1.458489
385.39820586,15.116491,0.464646
385.3982897,16.626072,0.659744
385.39833636,17.466208,0.841377
385.39858811,21.99909,0.804744
385.3986716,23.502369,1.165948
385.39885147,26.741016,0.362296
385.39898648,29.171938,0.170967
385.39901981,29.772062,0.438996
385.39925867,34.072853,0.373785
385.39932036,35.183613,0.574572
385.39944502,37.428177,0.345916
385.39983926,44.526661,0.42766
385.4002146,51.284843,0.330532
385.40052813,56.930107,0.205681
385.40615437,158.233322,-0.117448
385.40645012,163.558456,-0.140856
385.40651598,164.744293,-0.355228
385.40674127,168.800751,-0.353337
385.40684378,170.6465,-0.205071
385.40688457,171.380936,-0.326799
385.40700665,173.579041,-0.350058
385.4071376,175.936859,-0.258675
385.40720837,177.211121,-1.205331
385.40736512,180.033478,-1.042123
385.40753391,183.072617,-0.359567
385.40765565,185.264618,-0.199981
385.40776607,187.252777,-0.124629
385.40789068,189.496445,-0.508413
385.40805542,192.462662,-0.227092
385.40819201,194.922043,-1.387929
385.40836757,198.083084,-0.513699
385.40850442,200.547134,-0.245292
385.40861322,202.506134,-0.369872
385.40892213,208.068207,-0.104413
385.40897927,209.097046,-0.331076
385.40925635,214.085999,-0.132414
385.40933963,215.585495,-0.225858
385.40944875,217.550262,-0.265357
385.4095511,219.393127,-0.226816
385.409753,223.028427,-0.306664
385.41041152,234.885406,-0.195836
385.41062597,238.746689,-0.167491
385.41612388,337.739258,0.158184
385.41613152,337.876831,0.161783
385.41616588,338.495483,0.374191
385.41632666,341.390411,0.257864
385.41634411,341.70462,0.40021
385.41648147,344.177856,0.725517
385.41663081,346.866791,0.484509
385.41670722,348.242584,0.557449
385.41682536,350.369751,0.688711
385.4169686,352.948853,1.140236
385.41708205,354.991577,2.195728
385.41724807,357.980865,1.317018
385.41739585,0.641693,0.169929
385.41740513,0.808807,0.221704
385.41749612,2.447113,0.34125
385.41751426,2.773743,0.352064
385.41752521,2.970886,1.14662
385.41776273,7.247559,0.413057
385.41776853,7.35199,2.116317
385.41791896,10.060547,0.452856
385.41804196,12.275238,0.366187
385.41817467,14.664734,0.930239
385.41823213,15.699341,1.194617
385.41833442,17.541107,0.162967
385.41839025,18.546356,0.428531
385.41856787,21.744507,0.122968
385.41857241,21.826233,0.468907
385.41862635,22.797455,0.512687
385.41870092,24.140137,0.666921
385.41880271,25.9729,0.78988
385.41900383,29.594177,0.401063
385.41912413,31.760223,0.225439
385.41917477,32.672028,0.435064
385.41936202,36.043579,0.419821
385.41951681,38.830627,0.39296
385.41963108,40.888123,0.431155
385.41992943,46.260071,0.540633
385.42002643,48.006592,0.607284
385.42018546,50.869995,0.259686
385.42064508,59.145691,0.318858
385.42634701,161.811768,-0.133598
385.42640632,162.879639,-0.143411
385.42647111,164.046204,-0.290858
385.42668622,167.919373,-0.392192
385.42680804,170.112793,-0.343047
385.42699994,173.568054,-0.518454
385.42715497,176.359436,-0.174978
385.42717204,176.666809,-0.685834
385.42720856,177.324402,-0.997454
